186.21,551.14,46.391,313.39,493.03,169.9,153.26,156.47,111.51,119.4,60.343,430.45
174.32,436.99,84.635,58.145,411.34,125.13,127.71,115.79,102.87,149.75,65.227,372.51
150.39,360.87,96.976,92.38,344.74,398.78,115.87,114.46,116.95,149.2,36.44,330.31
157.25,315.05,138.9,163.32,290,240.72,135.72,120.58,174,110.35,19.809,281.67
126.75,92.571,202.74,136.28,243.07,256.95,248.61,202.07,245.23,64.911,11.848,237.87
95.507,65.498,234.84,78.594,176.04,183.46,180.82,211.87,222.89,30.532,3.9471,189.48
73.559,179.57,139.98,49.161,126.69,147.97,77.175,42.098,81.353,59.204,0,137.62
45.563,110.38,66.461,44.417,29.12,46.956,91.021,32.605,20.31,41.335,0,88.136
18.932,68.368,45.769,34.337,20.831,24.585,52.85,26.13,12.998,19.942,0.88977,52.099
1.7727,27.956,24.483,27.019,6.6762,25.769,23.494,-0.92318,4.8031,0,0,2.9301
0,0,0,0,0,0.84962,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
