15.6,15.6,16.2,15,16.8,16.5,15,16.2,16.5,15.9,16.2,14.7
15.6,15.6,16.2,15,16.2,16.8,15,15.9,15.9,15.9,15.9,15
15.9,16.2,16.5,15,16.5,16.2,15.3,16.2,15.3,16.5,15.3,14.7
16.2,15.6,15.9,15,16.2,16.5,15,16.5,15.3,15.9,15.3,15.3
15.6,15.6,16.2,15,16.8,16.2,15,15.9,15.3,16.2,15.3,15
15.6,15.9,15.9,15,16.2,16.2,15,15.9,15.3,15.9,15.3,14.7
15.6,15.6,16.2,15.3,15.9,15.3,14.7,16.5,15,16.2,15.3,14.7
15.6,15.3,16.2,15.3,16.5,15.6,15.3,16.2,16.2,15,15.3,15
15.6,15.6,16.2,15,16.5,15.3,15,15.9,15.6,15,15,15
15.6,15.9,16.2,14.7,16.8,15.9,15,15.9,15.3,15,15.3,15.3
15.9,15.6,16.2,15.3,15.6,15.3,15,15.9,15.3,15.3,15.3,15.6
15.6,15.9,15.9,15,16.2,15.3,15.9,16.2,15.3,15.3,15.3,14.7
15.9,15.6,16.2,15,15.9,15.6,15.3,16.2,15.6,15,15.3,14.7
15.6,15.6,16.2,15,15.9,15.3,15.3,15.9,16.2,15,15.3,15
16.2,15.9,16.5,14.7,15.3,15.6,15.3,16.2,15.9,15,15.3,15.9
15.6,15.6,16.2,15,16.2,15.3,15,15.9,16.2,15.3,15.3,15
15.6,15.6,16.2,15,15.9,15.6,15,16.2,15.9,15,15.3,15.6
15.9,15.6,16.2,15,15.9,15.3,15,15.9,15.9,15.3,15.3,15.3
15.6,15.6,15.6,15,15.9,15.3,15,16.2,15.6,15,15,15.6
15.6,15.6,15.9,14.7,15.9,15.6,15,16.2,15.9,15,15.3,15
15.9,15.9,15.3,15,15,15.6,15,15.9,15.3,15,15,15.6
15.6,15.6,15,15,15.3,15.3,15,15.9,15.3,15.3,15,15.9
15.6,15.3,15.3,15,15.3,15.3,15,16.2,15.6,15,15.9,15.3
16.5,16.5,15.9,16.2,16.8,15.3,15.3,16.8,16.5,15.9,16.2,16.2
17.7,17.1,17.4,18,16.8,15.6,14.7,18.3,17.4,17.1,17.1,16.8
17.7,16.8,17.4,17.7,17.4,15.3,15,18,17.1,17.7,17.1,16.8
17.7,17.4,17.1,16.8,17.1,15.3,15.3,18.3,17.4,17.7,17.1,17.4
17.7,17.1,17.1,17.1,17.1,15.3,15.9,18,17.1,18,17.1,17.7
18,17.7,17.4,17.4,17.7,15.3,15.3,18.3,18.3,18.3,17.4,18
18,17.7,17.4,17.7,17.4,15.6,15,18.9,18.3,18.6,17.1,18
16.2,15.9,16.5,16.2,15.6,13.5,14.1,15.9,16.5,16.8,15.6,15.9
15.9,15.6,16.5,15,14.7,14.1,13.5,15.6,15.9,16.2,15.3,15.3
15.6,15.6,16.5,14.7,15.3,12.9,12.9,15.9,15.9,16.2,15.9,16.2
16.8,16.8,17.4,17.1,17.1,12.9,13.8,18,17.7,17.4,17.1,16.8
18,18.9,19.8,19.5,19.2,13.2,13.8,20.1,18.9,19.5,19.2,18.9
18,19.8,20.1,20.4,19.2,12.9,12.6,20.4,19.2,19.8,19.8,19.8
18.3,19.8,20.4,20.1,19.8,12.9,13.2,21.6,20.1,19.8,20.7,20.4
18,20.7,21,21.3,20.7,13.8,13.8,21.6,20.4,20.1,20.4,21.3
18.3,21.9,21.6,21.9,21.6,13.8,13.5,21.9,20.7,20.7,21.6,21.9
18.3,21.3,22.2,22.2,21.9,15.3,13.8,21.9,21,21.3,21.6,21.9
18.3,21,21.9,22.2,21.6,15.3,13.8,22.5,21.3,21,22.2,21.9
18.3,21.6,23.4,21.6,21.6,14.4,13.5,21.9,21.6,21,22.5,22.5
18.6,21.3,24,22.2,21.9,17.1,14.1,21.9,21.3,21,22.2,21.9
18.3,21.9,24,23.4,21.9,17.1,13.8,22.2,21.3,21.6,22.2,21.9
18.6,21.9,24,24.6,21.9,16.8,14.1,22.5,21,21.3,21.6,22.2
18.9,21.9,24,23.4,21.9,16.8,13.8,22.5,21.6,21.3,21.9,21.9
18.6,22.8,24,22.5,22.5,17.1,15.3,21.9,21.6,21,21.6,21.6
19.2,21.9,24,22.5,22.2,16.2,16.2,21.9,21.9,21.3,21.3,22.2
18.9,22.2,24.6,23.4,22.5,15.9,14.4,22.2,21.9,21.3,21.9,22.2
19.2,21.9,22.2,23.4,22.2,16.2,14.1,21.9,21.3,21.6,21.6,21.9
18.9,21.9,22.2,22.5,21,13.8,14.1,21.6,21.6,21,21.6,21.9
18.9,21.6,21.9,21.6,20.7,13.2,14.1,21.6,21,21,21.6,21.9
19.2,21,21.6,22.2,21,13.2,14.1,21.6,21.6,21.3,21,21.3
18.9,21.3,22.2,21.9,21,13.2,14.1,21.6,21,21,21.6,21.6
19.2,21.9,22.2,22.5,21,14.1,14.1,21.9,21.6,21,21.9,22.5
19.5,21.9,21.6,23.1,21.6,13.8,13.8,22.2,21.3,21.3,21.9,22.5
19.8,21.6,23.7,23.1,21.3,14.1,14.4,22.2,21.6,21.6,21.9,22.2
19.2,22.2,23.4,23.4,21.6,13.5,14.4,21.6,21.6,21.6,21.6,24
19.5,21.9,22.8,23.1,21.6,13.5,14.4,21.9,23.4,21.3,21.9,24.3
19.5,21.6,22.2,23.4,21.6,13.8,13.5,21.6,23.1,21.3,22.2,23.7
19.5,21.6,22.2,23.4,21.9,13.5,13.8,21.6,23.4,21,22.2,24
19.8,22.2,22.2,22.5,21,13.2,13.8,21.6,23.4,21,22.2,24
19.5,21.9,22.2,22.8,21.6,14.1,13.2,21.6,23.4,21.3,23.1,24
19.8,21.9,21.9,23.1,21.6,14.4,13.8,21.6,23.1,21,22.2,24
19.2,21.9,21.9,24.6,21.6,13.5,14.1,21.3,23.1,20.7,21.9,24.3
19.5,21.9,22.2,24.6,21.3,13.5,14.7,21.6,23.4,21.3,21.6,24.3
19.2,21.9,22.2,24.6,21.6,13.8,13.8,21.3,24,21,22.2,24
19.5,21.9,22.8,24.3,21.6,14.4,13.8,21,24,21.6,22.2,23.7
19.8,22.5,23.1,22.8,21.6,14.4,14.1,21.3,24.3,21.6,21.9,24
21.3,26.1,24.6,25.5,23.4,16.8,15.6,23.4,26.7,23.7,23.1,25.5
21.9,26.1,23.7,25.2,24,16.8,16.8,23.7,26.7,24,24,26.7
21.6,25.8,23.7,24.9,24.3,16.5,16.5,24,26.4,24,24,26.7
21.6,26.1,23.7,24.9,24,17.1,16.5,24.3,26.7,23.4,24,26.1
21.3,26.1,23.4,25.2,23.7,17.1,16.8,24,26.1,23.4,24.6,26.1
21.6,24,23.4,24.3,23.4,16.8,17.1,23.7,25.5,23.7,24.3,25.8
21.3,23.7,23.1,24,23.1,15.9,16.2,23.4,25.5,24,23.7,25.5
21.3,23.4,23.1,24.3,23.1,15.9,16.5,22.8,24.9,23.1,23.4,25.2
